point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,曹晓燕2004/本人记音
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,多,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,拖,əɯ/a,～拉/～舌头,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,他,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,驼,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,驮,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,陀,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,鸵,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,沱,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,舵,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,大,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,T,驮,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,N,挪,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,N,哪,a/əɯ,～拉/～吒,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,N,那,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,L,罗,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,L,锣,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,L,箩,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,L,萝,ʌ,～卜,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,L,逻,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,TS,左,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,TS,佐,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,TS,搓,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,歌,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,哥,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,柯,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,个,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,轲,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,可,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,蛾,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,鹅,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,俄,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,娥,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,我,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,K,饿,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,Ø,荷,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,Ø,河,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,Ø,何,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,Ø,荷,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,Ø,贺,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,Ø,阿,əɯ,～胶,
WX01,无锡城区,太湖片-苏沪嘉小片,,,歌,Ø,屙,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,K,茄,a,白读,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,波,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,菠,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,跛,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,簸,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,簸,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,播,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,颇,əɯ,廉～,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,坡,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,玻,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,破,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,婆,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,P,薄,əɯ,～荷,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,M,魔,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,M,磨,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,M,摩,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,M,馍,,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,M,蘑,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,M,磨,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,朵,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,躲,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,剁,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,妥,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,椭,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,唾,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,砣,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,惰,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,垛,əɯ,,
WX01,无锡城区,太湖片-苏沪嘉小片,,,戈,T,堕,əɯ,,
