point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,周静梅2024
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,多,əu/ɒ,白读/文读～个,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,拖,ɒ/əu,白读～舌头/白读～拉机～地板,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,他,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,驼,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,陀,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,鸵,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,沱,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,舵,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,大,əu/ɒ,白读～小/文读 ～学,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,N,挪,ʊ/ɒ,白读/文读,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,N,哪,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,N,那,ɒ,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,L,罗,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,L,锣,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,L,箩,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,L,萝,ɐ/əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,L,逻,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,TS,左,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,TS,佐,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,TS,搓,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,柯,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,个,əu/ɒ/iəu,白读/文读～子/～把,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,轲,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,可,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,娥,,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,我,əu,文读,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,K,饿,əu,,
QP01,青浦商榻,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
