point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吴县方言志1978
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,多,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,拖,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,他,a,文读,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,驼,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,陀,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,沱,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,舵,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,大,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,N,挪,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,N,哪,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,N,那,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,L,罗,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,L,锣,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,L,箩,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,L,萝,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,L,逻,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,TS,左,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,TS,搓,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,柯,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,个,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,轲,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,可,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,娥,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,我,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,K,饿,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,Ø,河,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,Ø,何,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,Ø,贺,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,K,茄,a,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,波,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,跛,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,播,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,破,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,P,薄,u,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,M,摩,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,M,馍,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,M,蘑,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,朵,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,躲,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,剁,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,妥,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,椭,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,唾,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,砣,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,惰,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,垛,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,T,堕,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,N,挼,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,N,糯,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,N,懦,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,L,骡,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,L,螺,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,L,脶,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,L,啰,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,L,裸,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,L,摞,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,锉,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,坐,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,座,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,蓑,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,梭,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,唆,əu,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
WX02,吴县光福镇,太湖片-苏沪嘉小片,,,戈,TS,锁,əu,,
